"9041","ND34SW 35","Brounaban","Burnt Mound (Prehistoric)","332400","943480","HIGHLAND","CAITHNESS","WICK","ND 3240 4348","http://canmore.org.uk/site/9041",
"110","HP60SW 10","Unst, Murrister","Burnt Mound (Prehistoric)","460900","1201400","SHETLAND ISLANDS","SHETLAND","UNST","HP 609 014","http://canmore.org.uk/site/110",
"111","HP60SW 11","Unst, Mailand","Burnt Mound (Prehistoric)","460683","1201457","SHETLAND ISLANDS","SHETLAND","UNST","HP 60683 01457","http://canmore.org.uk/site/111",
"315","HU24NW 26","Loch Of Grunnavoe","Burnt Mound (Prehistoric)","424990","1148890","SHETLAND ISLANDS","SHETLAND","WALLS AND SANDNESS","HU 2499 4889","http://canmore.org.uk/site/315",
"330","HU24SE 1","Westerwick","Burnt Mound (Prehistoric)","428410","1142770","SHETLAND ISLANDS","SHETLAND","SANDSTING","HU 2841 4277","http://canmore.org.uk/site/330",
"350","HU25NE 16","West Burra Firth","Burnt Mound (Prehistoric)","425750","1157660","SHETLAND ISLANDS","SHETLAND","SANDSTING","HU 2575 5766","http://canmore.org.uk/site/350",
"383","HU25NW 6","Willa Pund","Burnt Mound (Prehistoric)","422020","1156790","SHETLAND ISLANDS","SHETLAND","WALLS AND SANDNESS","HU 2202 5679","http://canmore.org.uk/site/383",
"397","HU25SE 19","Sefster","Burnt Mound (Prehistoric)","429970","1150460","SHETLAND ISLANDS","SHETLAND","SANDSTING","HU 2997 5046","http://canmore.org.uk/site/397",
"501","HU27NW 8","Tang Wick","Burnt Mound (Prehistoric)","423350","1177510","SHETLAND ISLANDS","SHETLAND","NORTHMAVINE","HU 2335 7751","http://canmore.org.uk/site/501",
"511","HU28SW 6","Hamnavoe","Burnt Mound (Prehistoric)","424040","1180450","SHETLAND ISLANDS","SHETLAND","NORTHMAVINE","HU 2404 8045","http://canmore.org.uk/site/511",
"551","HU31SE 17","Loch Of Huesbreck","Burnt Mound (Prehistoric)(Possible)","438800","1113800","SHETLAND ISLANDS","SHETLAND","DUNROSSNESS","HU 388 138","http://canmore.org.uk/site/551",
"571","HU31SE 5","Links Of Quendale","Burnt Mound (Prehistoric)","438490","1112860","SHETLAND ISLANDS","SHETLAND","DUNROSSNESS","HU 3849 1286","http://canmore.org.uk/site/571",
"611","HU33NE 3","West Burra, Bruna Ness","Burnt Mound(S) (Prehistoric)","438120","1136580","SHETLAND ISLANDS","SHETLAND","LERWICK","HU 3812 3658","http://canmore.org.uk/site/611",
"633","HU33SE 3","West Burra, Sunnybank","Building (Period Unassigned), Burnt Mound (Prehistoric), Field System (Period Unassigned)","437580","1133790","SHETLAND ISLANDS","SHETLAND","LERWICK","HU 3758 3379","http://canmore.org.uk/site/633",
"655","HU33SE 6","East Burra, Voe Of North House","Burnt Mound (Prehistoric)","438000","1131660","SHETLAND ISLANDS","SHETLAND","LERWICK","HU 3800 3166","http://canmore.org.uk/site/655",
"693","HU34NE 3","Churchton","Burnt Mound (Prehistoric)","439000","1147660","SHETLAND ISLANDS","SHETLAND","TINGWALL","HU 3900 4766","http://canmore.org.uk/site/693",
"758","HU35SW 15","Sefster","Burnt Mound (Prehistoric)","430190","1150200","SHETLAND ISLANDS","SHETLAND","SANDSTING","HU 3019 5020","http://canmore.org.uk/site/758",
"911","HU41NW 6","Dalsetter","Burnt Mound(S) (Prehistoric)","440070","1115850","SHETLAND ISLANDS","SHETLAND","DUNROSSNESS","HU 4007 1585","http://canmore.org.uk/site/911",
"912","HU41NW 7","Knowe Of Willol","Burnt Mound (Prehistoric)","441090","1118120","SHETLAND ISLANDS","SHETLAND","DUNROSSNESS","HU 4109 1812","http://canmore.org.uk/site/912",
"913","HU41NW 8","Braefield","Burnt Mound (Prehistoric)","440080","1118230","SHETLAND ISLANDS","SHETLAND","DUNROSSNESS","HU 4008 1823","http://canmore.org.uk/site/913",
"919","HU41SW 5","Exnaboe","Burnt Mound(S) (Prehistoric)","440470","1111860","SHETLAND ISLANDS","SHETLAND","DUNROSSNESS","HU 4047 1186","http://canmore.org.uk/site/919",
"920","HU41SW 6","Punds","Burnt Mound (Prehistoric)","440210","1111610","SHETLAND ISLANDS","SHETLAND","DUNROSSNESS","HU 4021 1161","http://canmore.org.uk/site/920",
