Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 04 Nov 2019 19:22:25 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"19502","NJ81NW 4","Greenlands","Cairnfield (Period Unassigned), Clearance Cairn (Period Unassigned), Hut Circle(S) (Prehistoric), Pottery Scatter (Period Unassigned), Rig And Furrow (Medieval), Ring Cairn (Neol/bronze Age)","381230","817780","ABERDEENSHIRE","ABERDEENSHIRE","FINTRAY","NJ 8123 1778","http://canmore.org.uk/site/19502",
"39763","NR93SW 630","Arran, Machrie North","Burial Cairn (Prehistoric)(Possible), Clearance Cairn(S) (Prehistoric)(Possible), Unidentified Flint, Unidentified Pottery","190060","634600","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 9006 3460","http://canmore.org.uk/site/39763",
"80610","NM82NE 76","Gleann Sheileach","Building (Period Unassigned), Clearance Cairn(S) (19th Century), Corn Drying Kiln(S) (Period Unassigned), Cultivation Remains (Period Unassigned), Ditch(S) (Prehistoric), Farmstead (Period Unassigned)(Possible), Hearth(S) (19th Century), Pit(S) (Period Unassigned), Post Hole(S) (Prehistoric), Rig And Furrow (Medieval), Roundhouse(S) (Prehistoric), Unidentified Pottery(S) (Bronze Age)","185000","728400","ARGYLL AND BUTE","ARGYLL","KILMORE AND KILBRIDE","NM 850 284","http://canmore.org.uk/site/80610",
"316018","HU25SE 469","Twart Burn","Building (Prehistoric)(Possible), Clearance Cairn(S) (Prehistoric), Field Boundary (Prehistoric)","425564","1152828","SHETLAND ISLANDS","SHETLAND","WALLS AND SANDNESS","HU 25564 52828","http://canmore.org.uk/site/316018",
"335995","NB32SE 58","Ecc 2.5/1.8","Cairn (Post Medieval)(Possible), Cairn (Prehistoric)(Possible), Clearance Cairn (Prehistoric)(Possible), Clearance Cairn (Post Medieval)(Possible), Stone Circle (Post Medieval)(Possible), Stone Circle (Prehistoric)(Possible)","138050","920950","WESTERN ISLES","ROSS AND CROMARTY","LOCHS","NB 38050 20950","http://canmore.org.uk/site/335995",
"351302","NR46SE 13","Jura, Ardfin","Bank (Earthwork) (18th Century), Clearance Cairn (19th Century)(Possible), Pit (Mesolithic), Trench (Possible), Lithic Implement(S) (Stone)(Prehistoric), Scraper (Tool) (Quartz)(Prehistoric), Unidentified Flint(S) (Prehistoric), Worked Object (Stone)","148376","663484","ARGYLL AND BUTE","ARGYLL","JURA","NR 48376 63484","http://canmore.org.uk/site/351302",
"355269","HU34SE 56","Hill Of Berry","Clearance Cairn(S) (Prehistoric), Enclosure (Prehistoric), Roundhouse (Prehistoric)","439690","1140560","SHETLAND ISLANDS","SHETLAND","TINGWALL","HU 39690 40560","http://canmore.org.uk/site/355269",
"5580","NC63NE 48","Cnoc Na Gamhna","Burnt Mound (Prehistoric), Clearance Cairn(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","269070","936200","HIGHLAND","SUTHERLAND","FARR","NC 6907 3620","http://canmore.org.uk/site/5580",
"15424","NH92NE 7","Beinn Mhor","Burial Cairn (Prehistoric), Cist (Prehistoric), Clearance Cairn(S) (Period Unassigned), Hut (Period Unassigned), Pen (Period Unassigned)","299779","827738","HIGHLAND","MORAYSHIRE","CROMDALE, INVERALLAN AND ADVIE","NH 99779 27738","http://canmore.org.uk/site/15424",
"34001","NO49NW 6","Cambus O' May","Cairnfield (Period Unassigned), Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)(Possible)","342000","798280","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NO 4200 9828","http://canmore.org.uk/site/34001",
"39626","NR92NW 18","Arran, Kilpatrick","Clearance Cairn(S) (Prehistoric), Field System (Prehistoric), Rig And Furrow (Post Medieval)","191000","626400","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 9100 2640","http://canmore.org.uk/site/39626",
"49033","NT05SW 9","Lingy Knowe","Barrow (Prehistoric)(Possible), Clearance Cairn(S) (Period Unassigned)","302500","651700","SOUTH LANARKSHIRE","LANARKSHIRE","DUNSYRE","NT 025 517","http://canmore.org.uk/site/49033",
"117684","NJ30SW 27","Glenfenzie","Clearance Cairn(S) (Period Unassigned), Cord Rig (Prehistoric), Enclosure(S) (Period Unassigned), Field Boundary(S) (Period Unassigned), Field System (Period Unassigned), House(S) (Period Unassigned), Hut Circle (Prehistoric)","331900","803000","ABERDEENSHIRE","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN","NJ 319 030","http://canmore.org.uk/site/117684",
"132693","NH66SW 28","Kinbeachie Farm","Burnt Mound (Prehistoric), Clearance Cairn(S) (Period Unassigned)(Possible), Farmstead (Period Unassigned), Hut Circle(S) (Prehistoric)(Possible), Unidentified Flint (Flint), Unidentified Pottery","262850","862100","HIGHLAND","ROSS AND CROMARTY","RESOLIS","NH 6285 6210","http://canmore.org.uk/site/132693",
"134345","NR83NE 15","Arran, Balliekine","Clearance Cairn (Prehistoric)(Possible), Hut Circle (Prehistoric)(Possible)","187511","639541","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 87511 39541","http://canmore.org.uk/site/134345",
"135349","NN83NE 39","Corrymuckloch","Clearance Cairn(S) (Period Unassigned), Cup Marked Stone (Prehistoric), Field Boundary(S) (Period Unassigned), Hut Circle(S) (Prehistoric)","289400","735400","PERTH AND KINROSS","PERTHSHIRE","FOWLIS WESTER","NN 894 354","http://canmore.org.uk/site/135349",
"185168","NG83SW 76","Achnandarach","Clearance Cairn(S) (Period Unassigned), Hut Circle (Prehistoric)","180350","830810","HIGHLAND","ROSS AND CROMARTY","LOCHALSH","NG 8035 3081","http://canmore.org.uk/site/185168",
"263147","NO27NE 31","Glendoll Lodge","Clearance Cairn(S) (Prehistoric), Hut Circle (Prehistoric)","328400","776940","ANGUS","ANGUS","CORTACHY AND CLOVA","NO 28400 76940","http://canmore.org.uk/site/263147",
"311892","HP60SW 84","Unst, Brecknagarth","Clearance Cairn(S) (Prehistoric), Enclosure (Prehistoric)","461292","1201615","SHETLAND ISLANDS","SHETLAND","UNST","HP 61292 01615","http://canmore.org.uk/site/311892",
"332604","HU25SE 575","Lee Of Houlland","Clearance Cairn(S) (Prehistoric), Field System (Prehistoric)","427283","1150126","SHETLAND ISLANDS","SHETLAND","SANDSTING","HU 27283 50126","http://canmore.org.uk/site/332604",
"332620","HU25SE 576","Browland","Clearance Cairn(S) (Prehistoric), Field System (Prehistoric)","427087","1150634","SHETLAND ISLANDS","SHETLAND","SANDSTING","HU 27087 50634","http://canmore.org.uk/site/332620",
"336018","NB32SE 81","Ecc 2.12 Eilean Chalium Cille","Cairn (Period Unassigned), Chambered Cairn (Prehistoric)(Possible), Clearance Cairn (Modern), Kerb Cairn (Prehistoric)(Possible)","138744","921155","WESTERN ISLES","ROSS AND CROMARTY","LOCHS","NB 38744 21155","http://canmore.org.uk/site/336018",
"340140","HU31SE 111","Garths Ness","Clearance Cairn(S) (Prehistoric), Field System (Prehistoric)","436270","1111790","SHETLAND ISLANDS","SHETLAND","DUNROSSNESS","HU 3627 1179","http://canmore.org.uk/site/340140",
"348015","HU45NW 8","Kergord","Clearance Cairn (Prehistoric)(Possible), Ditch (Prehistoric)(Possible), Structure (Post Medieval)","440315","1156846","SHETLAND ISLANDS","SHETLAND","TINGWALL","HU 40315 56846","http://canmore.org.uk/site/348015",
"351940","NH31SE 8","Allt A' Bhrochain","Clearance Cairn(S) (Prehistoric)(Possible), Hut Circle(S) (Prehistoric)(Possible)","237981","810921","HIGHLAND","INVERNESS-SHIRE","BOLESKINE AND ABERTARFF","NH 37981 10921","http://canmore.org.uk/site/351940",
"351941","NH31SE 9","Allt Na Criche","Clearance Cairn(S) (Prehistoric)(Possible), Hut Circle(S) (Prehistoric)(Possible)","238182","811142","HIGHLAND","INVERNESS-SHIRE","BOLESKINE AND ABERTARFF","NH 38182 11142","http://canmore.org.uk/site/351941",
"358350","NH64SW 79","Ness Castle","Cist (Bronze Age)(Possible), Clearance Cairn(S) (Period Unknown), Pit (Prehistoric), Unidentified Pottery(S) (Prehistoric)","264881","841601","HIGHLAND","INVERNESS-SHIRE","INVERNESS AND BONA","NH 64881 41601","http://canmore.org.uk/site/358350",
"362357","NG70 2","Mam Uidhe","Boundary Dyke(S) (Post Medieval), Clearance Cairn(S) (Period Unknown), Hut Circle(S) (Prehistoric), Structure (Prehistoric)","176298","802421","HIGHLAND","INVERNESS-SHIRE","GLENELG (LOCHABER)","NG 76298 02421","http://canmore.org.uk/site/362357",
"276","HU24NE 11","South Stany Fields","Clearance Cairn(S) (Period Unassigned), Field System (Period Unassigned), Settlement (Period Unassigned)","425965","1149909","SHETLAND ISLANDS","SHETLAND","WALLS AND SANDNESS","HU 25965 49909","http://canmore.org.uk/site/276",
