CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"1663","HY21NW 120","Skara Brae","Settlement (Neolithic)","323125","1018745","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 23125 18745","http://canmore.org.uk/site/1663",
"1983","HY31NE 13","Brae Of Muckquoy","Cist(S) (Period Unassigned), Settlement (Prehistoric), Leaf Arrowhead (Prehistoric), Mace (Stone)(Prehistoric), Unidentified Flint(S) (Flint), Unidentified Pottery (Prehistoric)","337600","1017400","ORKNEY ISLANDS","ORKNEY","FIRTH","HY 3760 1740","http://canmore.org.uk/site/1983",
"1696","HY21SE 1","Ring Of Brodgar","Henge (Neol/bronze Age), Rune Inscribed Stone (Norse), Stone Circle (Neol/bronze Age)","329450","1013350","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 2945 1335","http://canmore.org.uk/site/1696",
"2201","HY32NE 50","Aikerness, Broch Of Gurness","Broch (Iron Age), Pictish Symbol Stone (Pictish), Settlement (Viking), Subterranean Structure (Period Unassigned)","338179","1026850","ORKNEY ISLANDS","ORKNEY","EVIE AND RENDALL","HY 38179 26850","http://canmore.org.uk/site/2201",
"2518","HY41SW 13","Pickaquoy","Burnt Mound (Prehistoric), Cup And Ring Marked Stone (Prehistoric)","344070","1011160","ORKNEY ISLANDS","ORKNEY","KIRKWALL AND ST OLA","HY 4407 1116","http://canmore.org.uk/site/2518",
"306643","HY75NE 48","North Ronaldsay, Quoybanks","Midden (Prehistoric), Mound (Prehistoric), Settlement (Prehistoric)","377580","1055230","ORKNEY ISLANDS","ORKNEY","CROSS AND BURNESS","HY 7758 5523","http://canmore.org.uk/site/306643",
"1483","HY20NE 11","Bu","Broch (Iron Age), Souterrain (Prehistoric)","326967","1009348","ORKNEY ISLANDS","ORKNEY","STROMNESS","HY 26967 09348","http://canmore.org.uk/site/1483",
"1484","HY20NE 12","Stromness","Barrow (Prehistoric), Cup Marked Stone (Prehistoric)","325000","1009000","ORKNEY ISLANDS","ORKNEY","STROMNESS","HY 25 09","http://canmore.org.uk/site/1484",
"1611","HY21NE 20","Midhouse, Tenston","Barrow(S) (Prehistoric), Enclosure (Period Unassigned)(Possible), Hut Circle(S) (Prehistoric)(Possible), Rig And Furrow (Medieval)","327820","1016040","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2782 1604","http://canmore.org.uk/site/1611",
"1693","HY21NW 7","Yesnaby, Brough Of Bigging","Building(S) (Pre-improvement), Burial Cairn (Prehistoric)(Possible), Promontory Fort (Prehistoric)","321940","1015740","ORKNEY ISLANDS","ORKNEY","SANDWICK","HY 2194 1574","http://canmore.org.uk/site/1693",
"1716","HY21SE 28","Stromness","Barrow(S) (Prehistoric), Cist(S) (Period Unassigned)","325000","1010000","ORKNEY ISLANDS","ORKNEY","STROMNESS","HY 25 10","http://canmore.org.uk/site/1716",
"1731","HY21SE 41","The Howe","Broch (Iron Age), Chambered Cairn (Neolithic), Souterrain (Prehistoric)","327590","1010920","ORKNEY ISLANDS","ORKNEY","STROMNESS","HY 2759 1092","http://canmore.org.uk/site/1731",
"1848","HY22SE 17","Knowe Of Smirrus, Gelderhouse","Barrow (Prehistoric), Cist (Period Unassigned), Lithic Implement(S) (Stone), Unidentified Pottery","329140","1021560","ORKNEY ISLANDS","ORKNEY","BIRSAY AND HARRAY","HY 2914 2156","http://canmore.org.uk/site/1848",
