Title, Description, Location, PeriodSubjectIntervention, Indentifiers, People, Bibliographic References, URL
"ARNHALL","Alternative Name(s): STRUAN FARM, BRECHIN<br /><br />Multiple instances of: LINEAR FEATURE <br />Multiple instances of: PIT <br />Multiple instances of: POST HOLE <br />Multiple instances of: STAKE HOLE <br />Possible instance of: FOOD PROCESSING SITE",""Grid Ref:NO612690;EPSG:27700:361200;EPSG:27700:769000;Country:Scotland;District:ABERDEENSHIRE;Civil Parish:FETTERCAIRN;","Subject:PIT ;Period:PREHISTORIC;Period:NEOLITHIC;Subject:LINEAR FEATURE ;Subject:FOOD PROCESSING SITE ;Subject:POST HOLE ;Subject:STAKE HOLE ;Subject:UNIDENTIFIED POTTERY ;Period:PERIOD UNASSIGNED;","Import RCN:RCAHMS19-304853;Depositor ID:NO66NW 114.0;","Publisher:Royal Commission on the Ancient and Historical Monuments of Scotland - National Monuments Record of Scotland;",,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=3250717
"ARRAN, SLIDDERY","Alternative Name(s): THE CROGUE<br /><br />Multiple instances of: KNIFE FLINT",""EPSG:27700:193500;EPSG:27700:624200;Country:Scotland;District:NORTH AYRSHIRE;Civil Parish:KILMORY;Grid Ref:NR935242;","Period:PREHISTORIC;Subject:KNIFE FLINT;Subject:UNIDENTIFIED POTTERY ;Subject:SCRAPER (TOOL) PITCHSTONE;Subject:AXE STONE;Subject:LEAF ARROWHEAD FLINT;Period:NEOL/BRONZE AGE;Subject:RING COPPER ALLOY;Subject:LITHIC WORKING SITE ;","Depositor ID:NR92SW 21.0;Import RCN:RCAHMS19-83244;","Publisher:Royal Commission on the Ancient and Historical Monuments of Scotland - National Monuments Record of Scotland;",,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=3054712
"Aberdeen Sites and Monuments Record (SMR)","The Aberdeen Sites and Monuments Record is maintained by the Archaeology Section, Aberdeen City Council.  The SMR includes upstanding identifiable sites from prehistoric stone circles and cairns, through medieval buildings to World War II defences such as pillboxes and anti-tank blocks. The sites also include documentary records: sites which were once recorded but have either been lost many years previously or demolished more recently. The sites also include features that have been identified by aerial photography but not investigated further, archaeological excavations and observations, and find spots. Finds vary from collections of several hundred flint tools collected by local historians to the finding of an individual object while digging the garden. Finds cover all date ranges over the last 8000 years from mesolithic flints to 20th-century ceramics and objects associated with World War II.  The SMR consists, at the present moment, of nearly 1700 records. Each site is represented by both a paper record and an entry on a Geographical Information System,  which links a point on a map and a database of information. Details of the sites are held along with photographs, press cuttings and reports regarding the  history and condition of the site. The SMR is open for consultation by appointment. <br>Status: On-going development",""District:Aberdeen;Country:Scotland;","Period:Mesolithic;Period:Iron Age;Subject:Pre-Christian/pagan funerary and cult ritual;Subject:Communications;Subject:Secular architecture and structures;Period:Roman;Period:Post Medieval;Period:Neolithic;Subject:Historic landscape;Subject:Rural and urban settlement;Period:Palaeolithic;Subject:Warfare and defence;Subject:Christian monuments, buildings and ritual;Subject:Artefacts;Period:Late Medieval;Period:Bronze Age;","Import RCN:HEIR-331;","Publisher:Whitespace;",,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=953469
"BROOKFIELD","Multiple instances of: POST HOLE",""EPSG:27700:292600;District:SOUTH LANARKSHIRE;Country:Scotland;EPSG:27700:638000;Grid Ref:NS926380;Civil Parish:CARMICHAEL;","Period:PREHISTORIC;Period:BRONZE AGE;Subject:POST HOLE ;Subject:UNIDENTIFIED POTTERY ;Subject:LITHIC WORKING SITE ;Period:PERIOD UNASSIGNED;","Depositor ID:NS93NW 41.0;Import RCN:RCAHMS19-157350;","Publisher:Royal Commission on the Ancient and Historical Monuments of Scotland - National Monuments Record of Scotland;",,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=3121836
"BUAILE NAM BODACH, IRON AGE SITE","Possible instance of: ROUNDHOUSE",""EPSG:27700:71547;Civil Parish:BARRA;District:WESTERN ISLES;Grid Ref:NF715016;Country:Scotland;EPSG:27700:801618;","Period:PREHISTORIC;Subject:OCCUPATION SITE ;Period:IRON AGE;Subject:ROUNDHOUSE ;","Import RCN:RCAHMS19-335603;Depositor ID:NF70SW 157.0;","Publisher:Royal Commission on the Ancient and Historical Monuments of Scotland - National Monuments Record of Scotland;",,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=3277250
"Calliachar Wind Farm, Perth  and  Kinross. Archaeological excavation at Sites 9a&#8211;c and 10","Calliachar Wind Farm, Perth  and  Kinross. Archaeological excavation at Sites 9a&#8211;c and 10",""Civil Parish:DULL;Grid Ref:NN8743;Named Location:Calliachar;Country:SCOTLAND;Civil Parish:LITTLE DUNKELD;EPSG:27700:743000;Named Location:Scotston;Admin County:PERTH AND KINROSS;EPSG:27700:287000;","Subject:BANK;Subject:IRON SLAG;Subject:BURIAL CAIRN;Subject:IRON BLOOM;Subject:SHIELING HUT;Period:NEOLITHIC;Period:PREHISTORIC;Period:POST MEDIEVAL;Subject:LEAF ARROWHEAD;Subject:CLEARANCE CAIRN;Subject:HOLLOW;Period:UNCERTAIN;Subject:SETTLEMENT;Subject:HOLLOW BASED ARROWHEAD;","Depositor ID:302;Grey Lit ID:21084;Import RCN:GL11_21084;","Publisher:ADS Grey Literature Library;",,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2590561
"Calliachar Wind Farm, Perth  and  Kinross. Excavation of Site 2","Calliachar Wind Farm, Perth  and  Kinross. Excavation of Site 2",""Civil Parish:DULL;Grid Ref:NN8743;Named Location:Calliachar;Country:SCOTLAND;Civil Parish:LITTLE DUNKELD;EPSG:27700:743000;Named Location:Scotston;Admin County:PERTH AND KINROSS;EPSG:27700:287000;","Subject:BANK;Subject:IRON SLAG;Subject:BURIAL CAIRN;Subject:IRON BLOOM;Subject:SHIELING HUT;Period:NEOLITHIC;Period:PREHISTORIC;Period:POST MEDIEVAL;Subject:LEAF ARROWHEAD;Subject:CLEARANCE CAIRN;Subject:HOLLOW;Period:UNCERTAIN;Subject:SETTLEMENT;Subject:HOLLOW BASED ARROWHEAD;","Depositor ID:302;Grey Lit ID:21082;Import RCN:GL11_21082;","Publisher:ADS Grey Literature Library;",,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2585464
"Calliachar Wind Farm, Perth  and  Kinross. Excavation of Sites 3a &#8211; 3c  and  Site 14b","Calliachar Wind Farm, Perth  and  Kinross. Excavation of Sites 3a &#8211; 3c  and  Site 14b",""Civil Parish:DULL;Grid Ref:NN8743;Named Location:Calliachar;Country:SCOTLAND;Civil Parish:LITTLE DUNKELD;EPSG:27700:743000;Named Location:Scotston;Admin County:PERTH AND KINROSS;EPSG:27700:287000;","Subject:BANK;Subject:IRON SLAG;Subject:BURIAL CAIRN;Subject:IRON BLOOM;Subject:SHIELING HUT;Period:NEOLITHIC;Period:PREHISTORIC;Period:POST MEDIEVAL;Subject:LEAF ARROWHEAD;Subject:CLEARANCE CAIRN;Subject:HOLLOW;Period:UNCERTAIN;Subject:SETTLEMENT;Subject:HOLLOW BASED ARROWHEAD;","Depositor ID:302;Grey Lit ID:21083;Import RCN:GL11_21083;","Publisher:ADS Grey Literature Library;",,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2585465
"DEN OF BODDAM","Alternative Name(s): SANDFORDHILL; BODDOM; BODDAM DEN<br /><br />Multiple instances of: LITHIC WORKING SITE <br />Multiple instances of: FLINT MINE",""Grid Ref:NK114413;Country:Scotland;District:ABERDEENSHIRE;EPSG:27700:841350;EPSG:27700:411470;Civil Parish:PETERHEAD;","Period:PERIOD UNKNOWN;Period:PREHISTORIC;Subject:FLINT DEPOSIT ;Period:NEOL/BRONZE AGE;Subject:SITE ;Subject:FLINT MINE ;Subject:LITHIC WORKING SITE ;Period:PERIOD UNASSIGNED;","Import RCN:RCAHMS19-21303;Depositor ID:NK14SW 3.0;","Publisher:Royal Commission on the Ancient and Historical Monuments of Scotland - National Monuments Record of Scotland;",,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=2994039
"East Lothian Historic Environment Record","The East Lothian Historic Environment Record or HER is a record of all known archaeological and historical sites in East and Midlothian.  The HER is maintained by the East Lothian Council Archaeology Service based in Haddington.

The HER records archaeological sites from the Palaeolithic period (500,000 BC) to nearly the modern day.   This covers a range of types of sites, historic buildings, and finds, from prehistoric standing stones to World War II airfields.  The HER also holds details of Scheduled Ancient Monuments, Listed Buildings, and Historic Parks and Gardens, as well as records of recent archaeological fieldwork.

The HER is based on a computerised database with over 17,000 records, which is linked to GIS mapping.  This is supplemented with a wide range of material, including fieldwork reports, photographs, plans, aerial photographs, and historic maps.  The database is updated regularly with new finds and discoveries.  The HER is a key resource used by the Archaeology Service to advise on planning matters, forestry, utilities, roads, etc.  The HER is also used by members of the public, consultants, history societies, students, and academics.  It is a resource that is available for anyone who is interested in finding out about the archaeology and heritage of East and Midlothian.  

We do not have the facilities for members of the public to visit the HER in person, but we can be contacted by phone, email, or letter.  Status: On-going development",""Country:Scotland;Named Location:East Lothian;Named Location:Midlothian;","Period:Early Medieval;Period:Mesolithic;Period:Iron Age;Subject:Pre-Christian/pagan funerary and cult ritual;Subject:Communications;Subject:Secular architecture and structures;Period:Roman;Subject:Christian monuments;Period:Post Medieval;Period:Neolithic;Period:Modern;Subject:Historic landscape;Subject:Ships and boats;Subject:Rural and urban settlement;Period:Medieval;Period:Palaeolithic;Subject:Warfare and defence;Subject:Artefacts;Subject: buildings and ritual;Period:Bronze Age;","Import RCN:HEIR-523;","Publisher:East Lothian Council Archaeology Service;",,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=1686206
"First Farmers: Excavations at Nethermuir","As part of the First Farmers Project a pattern of 25 test pits was dug over the only field available on this site in October 2001 (at c NO 156 411). Over 100 pieces of struck stone were recovered by a programme of sieving. Only three small features were located, in a single test-pit. One, a scatter of small stones, produced three sherds of prehistoric pottery and alder charcoal.",""Civil Parish:Lethendy;EPSG:27700:741100;Country:Scotland;Named Location:Nethermuir;Grid Ref:NO156411;EPSG:27700:315600;Admin County:Perthshire;","Subject:Flint scatter;Period:Neolithic;","Import RCN:FFP03-6;","Creator:Gordon Barclay;",,http://archaeologydataservice.ac.uk/archsearch/record.jsf?titleId=953914
